Scan point 1 out of 16, R(2,5) = 3.4373
 H		-3.661958	-0.156602	 0.240076
Scan point 14 out of 16, R(2,5) = 4.8373
 Br		 1.819646	 1.115359	 0.028583
 Hg		 0.126282	-0.555518	-0.017559
 O		-1.266529	-1.953184	-0.052565
 H		-4.115554	 1.560348	-1.459119
 C		-4.090006	 1.784540	-0.400212
 H		-4.260405	 2.815712	-0.118251
 C		-3.866284	 0.843849	 0.502989
 H		-3.848384	 1.071203	 1.561631
 H		-3.695835	-0.188242	 0.223957
Scan point 15 out of 16, R(2,5) = 4.9373
 Br		 1.835934	 1.117134	 0.027515
 Hg		 0.138714	-0.549707	-0.017473
 O		-1.258181	-1.943180	-0.051448
 H		-4.244301	 1.510786	-1.456953
 C		-4.219311	 1.739167	-0.398939
 H		-4.436890	 2.761713	-0.117964
 C		-3.940965	 0.813373	 0.504378
 H		-3.923297	 1.044697	 1.562153
 H		-3.723213	-0.210134	 0.226524
Scan point 16 out of 16, R(2,5) = 5.0373
 Br		 1.854473	 1.116638	 0.027296
 Hg		 0.150798	-0.543445	-0.017410
 O		-1.252063	-1.930807	-0.051366
 H		-4.343350	 1.480081	-1.456494
 C		-4.344073	 1.698655	-0.396122
 H		-4.622644	 2.704331	-0.108155
 C		-4.024297	 0.781104	 0.501793
 H		-4.032024	 1.002445	 1.561804
 H		-3.745635	-0.225691	 0.217188
